notification_no,work_order_no,notification_date,order_created_date,completion_date,functional_location,equipment_tag,equipment_description,equipment_class,priority,status,craft,process_upset,failure_mode,failure_code,cause_code,outage_required,labor_hours,material_cost_usd,notification_short_text,notification_long_text
10450015,40870015,2021-06-23,2021-06-25,2021-06-28,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P4,COMP,VALVE,feed_temperature_ramp,gasket weep,LEAK,GASKET,N,3.4,1127.39,"E-503 feed temp high, gasket weep","A shift called for E-503 feed bottoms exchanger, feed temp high seen during feed temperature ramp. Foud gasket weep; flange sweating. flushed impulse/sample line. no leak at handover. notif made by ops, maint attended same shift."
10450016,40870016,2021-06-26,2021-06-26,2021-06-28,U400-DEETHANIZER-500,AIT-501,overhead C2 analyzer,analyzer,P3,TECO,INST,feed_composition_shift,bad gc cycle,NO_ANALYSIS,ELEC,N,6.2,3034.67,AIT-501 not ok after feed composition shift,"C shift called for AIT-501 overhead C2 analyzer, anlyzr off seen during feed composition shift. Foud bad gc cycle; cycle abort. opened strainer, cleaned black sludge. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450017,40870017,2021-06-24,2021-06-24,2021-06-25,U400-DEETHANIZER-500,P-501A,reflux pump A,pump,P3,TECO,VALVE,feed_flow_step,bearing hot,BRG,WEAR,N,17.2,7631.94,P-501A not ok after feed flow step,"night called for P-501A reflux pump A, feed jump seen during feed flow step. Foud bearing hot; brg rough, lube dark. calibrated, loop checked with CCR. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450018,40870018,2021-06-29,2021-07-01,2021-07-03,U400-DEETHANIZER-500,P-501B,reflux pump B,pump,P3,TECO,OPS+INST,reflux_pump_degradation,seal leak,MECH_SEAL,SEAL,N,1.2,16094.82,P-501B not ok after reflux pump degradation,"C shift called for P-501B reflux pump B, seal weep seen during reflux pump degradation. Foud seal leak; seal face worn / dry run signs. Line was hot so job done slow and with ops standing by. reset trip and monitored for 2 hrs. no leak at handover. notif made by ops, maint attended same shift."
10450019,40870019,2021-06-27,2021-06-27,2021-06-28,U400-DEETHANIZER-500,FV-501,feed flow control valve,control_valve,P2,COMP,OPS+INST,feed_flow_step,not stroking,NO_TRAVEL,ACT,N,9.4,5361.29,FV-501 not stroking asap,"night called for FV-501 feed flow control valve, fic hunting seen during feed flow step. Foud not stroking; actuator weak. replaced positioner tubing and retuned small. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450020,40870020,2021-07-01,2021-07-02,2021-07-03,U400-DEETHANIZER-500,TV-501,reboiler hot medium valve,control_valve,P3,TECO,OPS+INST,reboiler_duty_loss,not stroking,NO_TRAVEL,ACT,N,2.7,804.56,TV-501 not stroking bad,"B shift called for TV-501 reboiler hot medium valve, low heat seen during reboiler duty loss. Foud not stroking; actuator weak. reset trip and monitored for 2 hrs. need watch next feed swing. notif made by ops, maint attended same shift."
10450021,40870021,2021-07-01,2021-07-02,2021-07-02,U400-DEETHANIZER-500,V-501,deethanizer reflux drum,vessel,P3,CLSD,MECH,condenser_fouling,level swing,LVL_SWING,CTRL,N,4.7,4819.31,"V-501 level swing again, prod upset","A shift called for V-501 deethanizer reflux drum, pic wide open seen during condenser fouling. Foud level swing; lt/lic problem. No spare in store at first, used refurb one from shop. flushed impulse/sample line. unit stable now. notif made by ops, maint attended same shift."
10450022,40870022,2021-07-01,2021-07-01,2021-07-01,U400-DEETHANIZER-500,FV-501,feed flow control valve,control_valve,P2,CLSD,OPS+INST,valve_stiction,stiction,STICK,PACKING,Y,14.6,419.2,chk FV-501 - stiction frm ops,"B shift called for FV-501 feed flow ctrl valve, air leak seen during valve stiction. Foud stiction; stem sticky and pos err. No spare in store at first, used refurb one from shop. replaced positioner tubing and retuned small. readng close to dcs after job. notif made by ops, maint attended same shift."
10450023,40870023,2021-07-07,2021-07-07,2021-07-07,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P3,CLSD,ANLYZR,feed_composition_shift,gasket weep,LEAK,GASKET,N,8.2,10985.23,"E-503 gasket weep again, prod upset","A shift called for E-503 feed bottoms exchanger, btm heavy seen during feed composition shift. Foud gasket weep; flange sweating. Tag plate dirty, confirmd by line up with panel. reset trip and monitored for 2 hrs. unit stable now. notif made by ops, maint attended same shift."
10450024,40870024,2021-07-08,2021-07-08,2021-07-09,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P3,COMP,OPS+INST,feed_temperature_ramp,plugged pass,PLUG,FOUL,N,7.4,13463.5,E-503 not ok after feed temperature ramp,"days called for E-503 feed bottoms exchanger, tray temp drift seen during feed temperature ramp. Foud plugged pass; flow restricted. No spare in store at first, used refurb one from shop. cleaned and put back online. no leak at handover. notif made by ops, maint attended same shift."
10450025,40870025,2021-07-06,2021-07-07,2021-07-08,U400-DEETHANIZER-500,PT-501,column overhead pressure tx,instrument,P3,CLSD,OPS+INST,condenser_fouling,impulse plugged,PLUG,PROCESS,N,16.3,5068.75,PT-501 impulse plugged asap,"days called for PT-501 column overhead pressure tx, pic wide open seen during condenser fouling. Foud impulse plugged; tap/line dirty. Could not get permit first time waiting area gas test. tightened fittings, leak test ok. unit stable now. notif made by ops, maint attended same shift."
10450026,40870026,2021-07-11,2021-07-11,2021-07-13,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P2,CLSD,MECH,feed_temperature_ramp,circ poor,NO_FLOW,PLUG,N,2.6,634.05,E-501 circ poor after upset,"B shift called for E-501 deethanizer reboiler, spec off seen during feed temp ramp. Foud circ poor; blocked inlet screen. replaced positioner tubing and retuned small. unit stable now. notif made by ops, maint attended same shift."
10450027,40870027,2021-07-13,2021-07-13,2021-07-13,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P2,COMP,E&I,condenser_fouling,hunting loop,CTRL_OSC,TUNE,N,17.4,2262.6,PV-501 not ok after condenser fouling,"days called for PV-501 column press control valve, cw dt low seen during condenser fouling. Foud hunting loop; bad response after upset. stroke tested, response better. readng close to dcs after job. notif made by ops, maint attended same shift."
10450028,40870028,2021-07-15,2021-07-15,2021-07-20,U400-DEETHANIZER-500,FT-502,reflux flow transmitter,instrument,P4,TECO,E&I,reflux_pump_degradation,impulse plugged,PLUG,PROCESS,N,1.3,6127.42,"FT-502 seal weep, impulse plugged","night called for FT-502 reflux flow tx, min flow hot seen during reflux pump degradation. Foud impulse plugged; tap/line dirty. reset trip and monitored for 2 hrs. unit stable now. notif made by ops, maint attended same shift."
10450029,40870029,2021-07-11,2021-07-11,2021-07-12,U400-DEETHANIZER-500,PT-501,column overhead pressure tx,instrument,P4,CLSD,ANLYZR,condenser_fouling,no signal,NO_SIGNAL,ELEC,N,4.7,41.41,PT-501 no signal noisy,"night called for PT-501 column overhead pressure tx, pic wide open seen during condenser fouling. Foud no signal; 24v or card issue. reset trip and monitored for 2 hrs. ops says ok for now. notif made by ops, maint attended same shift."
10450030,40870030,2021-07-16,2021-07-17,2021-07-18,U400-DEETHANIZER-500,LV-502,bottoms level valve,control_valve,P3,TECO,E&I,reflux_pump_degradation,air leak,AIR_LEAK,TUBING,N,12.4,4668.65,"LV-502 air leak again, prod upset","night called for LV-502 bottoms level valve, min flow hot seen during reflux pump degradation. Foud air leak; positioner supply drop. Line was hot so job done slow and with ops standing by. cleaned and put back online. no leak at handover. notif made by ops, maint attended same shift."
10450031,40870031,2021-07-19,2021-07-19,2021-07-19,U400-DEETHANIZER-500,PSV-502,reflux drum relief valve,relief,P4,CLSD,MECH,feed_flow_step,seat passing,LEAK_BY,SEAT,N,8.3,4487.7,"PSV-502 seat passing again, prod upset","C shift called for PSV-502 reflux drum relief valve, fic hunting seen during feed flow step. Foud seat passing; tail pipe warm. calibrated, loop checked with CCR. need watch next feed swing. notif made by ops, maint attended same shift."
10450032,40870032,2021-07-19,2021-07-19,2021-07-20,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P3,TECO,ROT,valve_stiction,stiction,STICK,PACKING,N,4.9,5711.18,"FV-502 stiction again, prod upset","night called for FV-502 reflux flow control valve, air leak seen during valve stiction. Foud stiction; stem sticky and pos err. replaced positioner tubing and retuned small. no leak at handover. notif made by ops, maint attended same shift."
10450033,40870033,2021-07-21,2021-07-21,2021-07-22,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P3,CLSD,ANLYZR,feed_flow_step,temp approach bad,PERF,FOUL,N,10.2,13905.27,"E-503 temp approach bad again, prod upset","C shift called for E-503 feed bottoms exchanger, column dp high seen during feed flow step. Foud temp approach bad; heat transfer loss. calibrated, loop checked with CCR. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450034,40870034,2021-07-22,2021-07-23,2021-07-24,U400-DEETHANIZER-500,PSV-501A,column relief valve A,relief,P2,CLSD,MECH,pressure_control_fault,seat passing,LEAK_BY,SEAT,N,4.3,2058.42,chk PSV-501A - seat passing frm ops,"days called for PSV-501A column relief valve A, pshh close call seen during pressure control fault. Foud seat passing; tail pipe warm. Could not get permit first time waiting area gas test. calibrated, loop checked with CCR. need watch next feed swing. notif made by ops, maint attended same shift."
10450035,40870035,2021-07-24,2021-07-24,2021-07-27,U400-DEETHANIZER-500,TT-501B,sensitive tray temperature tx,instrument,P3,TECO,INST,reboiler_duty_loss,bad reading,DRIFT,CAL,N,3.4,6239.24,chk TT-501B - bad reading frm ops,"B shift called for TT-501B sensitive tray temperature tx, low heat seen during reboiler duty loss. Foud bad reading; needs calib. History shows same complain last mnth. tightened fittings, leak test ok. unit stable now. notif made by ops, maint attended same shift."
10450036,40870036,2021-07-24,2021-07-24,2021-07-26,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P3,TECO,ROT,condenser_fouling,not stroking,NO_TRAVEL,ACT,N,17.8,1010.96,"TV-502 cw dt low, not stroking","C shift called for TV-502 condenser cooling valve, cw dt low seen during condenser fouling. Foud not stroking; actuator weak. No spare in store at first, used refurb one from shop. changed gasket and boxed up. ops says ok for now. notif made by ops, maint attended same shift."
10450037,40870037,2021-07-23,2021-07-25,2021-07-26,U400-DEETHANIZER-500,P-501A,reflux pump A,pump,P2,CLSD,ANLYZR,reflux_pump_degradation,vib high,VIB,ALIGN,N,3.5,7881.14,P-501A not ok after reflux pump degradation,"C shift called for P-501A reflux pump A, min flow hot seen during reflux pump degradation. Foud vib high; coupling align or cavitation. History shows same complain last mnth. reset trip and monitored for 2 hrs. no leak at handover. notif made by ops, maint attended same shift."
10450038,40870038,2021-07-28,2021-07-30,2021-07-30,U400-DEETHANIZER-500,P-501B,reflux pump B,pump,P3,TECO,VALVE,reflux_pump_degradation,bearing hot,BRG,WEAR,N,10.5,2052.72,"P-501B bearing hot again, prod upset","night called for P-501B reflux pump B, min flow hot seen during reflux pump degradation. Foud bearing hot; brg rough, lube dark. flushed impulse/sample line. no leak at handover. notif made by ops, maint attended same shift."
10450039,40870039,2021-07-31,2021-08-01,2021-08-01,U400-DEETHANIZER-500,P-501B,reflux pump B,pump,P3,COMP,VALVE,feed_composition_shift,motor trip,MOTOR,ELEC,N,6.7,11259.45,"P-501B c3 in feed hi, motor trip","days called for P-501B reflux pump B, anlyzr off seen during feed composition shift. Foud motor trip; overload trip after upset. tightened fittings, leak test ok. readng close to dcs after job. notif made by ops, maint attended same shift."
10450040,40870040,2021-08-01,2021-08-03,2021-08-04,U400-DEETHANIZER-500,TV-501,reboiler hot medium valve,control_valve,P4,COMP,ANLYZR,feed_temperature_ramp,not stroking,NO_TRAVEL,ACT,N,11.0,2672.83,TV-501 not ok after feed temperature ramp,"C shift called for TV-501 reboiler hot medium valve, tray temp drift seen during feed temperature ramp. Foud not stroking; actuator weak. cleaned and put back online. no leak at handover. notif made by ops, maint attended same shift."
10450041,40870041,2021-08-02,2021-08-03,2021-08-05,U400-DEETHANIZER-500,T-501,deethanizer column,column,P3,TECO,MECH,pressure_control_fault,dp high,DP_HIGH,FOAM,N,15.3,87.65,"T-501 pic unstable, dp high","B shift called for T-501 deethanizer column, pv not movng seen during pressure control fault. Foud dp high; trays loading or foaming. No spare in store at first, used refurb one from shop. tightened fittings, leak test ok. readng close to dcs after job. notif made by ops, maint attended same shift."
10450042,40870042,2021-07-30,2021-07-31,2021-08-01,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P2,COMP,VALVE,condenser_fouling,passing,LEAK_BY,SEAT,N,13.2,666.97,PV-501 not ok after condenser fouling,"days called for PV-501 column pressure control valve, cw dt low seen during condenser fouling. Foud passing; seat leak by. opened strainer, cleaned black sludge. readng close to dcs after job. notif made by ops, maint attended same shift."
10450043,40870043,2021-08-01,2021-08-03,2021-08-05,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P3,TECO,INST,condenser_fouling,not stroking,NO_TRAVEL,ACT,N,14.9,3906.88,PV-501 not stroking temp fix,"A shift called for PV-501 column pressure control valve, cond not pullng seen during condenser fouling. Foud not stroking; actuator weak. swapped to standby and repaired. no leak at handover. notif made by ops, maint attended same shift."
10450044,40870044,2021-08-06,2021-08-07,2021-08-07,U400-DEETHANIZER-500,AIT-501,overhead C2 analyzer,analyzer,P3,COMP,ANLYZR,normal_wear,condensate in sample,LIQ_CARRY,SAMPLE,N,4.8,4495.07,"AIT-501 bad reading, condensate in sample","B shift called for AIT-501 overhead C2 analyzer, leak seen during normal wear. Foud condensate in sample; knockout pot full. calibrated, loop chekd with CCR. need watch next feed swing. notif made by ops, maint attended same shift."
10450045,40870045,2021-08-08,2021-08-08,2021-08-08,U400-DEETHANIZER-500,LV-502,bottoms level valve,control_valve,P2,TECO,E&I,valve_stiction,air leak,AIR_LEAK,TUBING,N,16.0,5211.41,"LV-502 loop cycling, air leak","B shift called for LV-502 bottoms level vavle, op jumps seen during vavle stiction. Foud air leak; positioner supply drop. stroke tested, response better. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450046,40870046,2021-08-05,2021-08-07,2021-08-14,U400-DEETHANIZER-500,P-502A,bottoms pump A,pump,P2,TECO,ANLYZR,feed_temperature_ramp,bearing hot,BRG,WEAR,Y,22.2,2754.58,"P-502A bearing hot again, prod upset","A shift called for P-502A bottoms pump A, tray temp drift seen during feed temperature ramp. Foud bearing hot; brg rough, lube dark. changed gasket and boxed up. readng close to dcs after job. notif made by ops, maint attended same shift."
10450047,40870047,2021-08-07,2021-08-07,2021-08-09,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P4,TECO,ANLYZR,reflux_pump_degradation,stiction,STICK,PACKING,N,8.3,336.32,"FV-502 stiction again, prod upset","A shift called for FV-502 reflux flow ctrl valve, low reflux seen during reflux pump degradation. Foud stiction; stem sticky and pos err. No spare in store at first, used refurb one from shop. flushed impulse/sample line. need watch next feed swing. notif made by ops, maint attended same shift."
10450048,40870048,2021-08-09,2021-08-09,2021-08-09,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P3,TECO,E&I,feed_temperature_ramp,plugged pass,PLUG,FOUL,N,14.3,5542.67,"E-503 plugged pass again, prod upset","B shift called for E-503 feed bottoms exchanger, ovhd press moving seen during feed temperature ramp. Foud plugged pass; flow restricted. calibrated, loop checked with CCR. need watch next feed swing. notif made by ops, maint attended same shift."
10450049,40870049,2021-08-10,2021-08-11,2021-08-12,U400-DEETHANIZER-500,FT-502,reflux flow transmitter,instrument,P4,COMP,INST,reflux_pump_degradation,bad reading,DRIFT,CAL,N,16.1,3862.14,FT-502 not ok after reflux pump degradation,"days called for FT-502 reflux flow transmitter, low reflux seen during reflux pump degradation. Foud bad reading; needs calib. replaced positioner tubing and retuned small. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450050,40870050,2021-08-15,2021-08-15,2021-08-22,U400-DEETHANIZER-500,FV-501,feed flow control valve,control_valve,P3,COMP,OPS+INST,feed_flow_step,stiction,STICK,PACKING,N,8.4,3024.0,"FV-501 colmn dp high, stiction","C shift called for FV-501 feed flow control valve, column dp high seen during feed flow step. Foud stiction; stem sticky and pos err. opened strainer, cleaned black sludge. no leak at handover. notif made by ops, maint attended same shift."
10450051,40870051,2021-08-16,2021-08-18,2021-08-21,U400-DEETHANIZER-500,P-502B,bottoms pump B,pump,P4,CLSD,VALVE,feed_temperature_ramp,low disch press,HYD_LOSS,FOUL,N,16.4,13087.11,"P-502B low disch press again, prod upset","night called for P-502B bottoms pump B, rb duty up seen during feed temperature ramp. Foud low disch press; strainer dirty or impeller wear. No spare in store at first, used refurb one from shop. replaced positioner tubing and retuned small. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450052,40870052,2021-08-14,2021-08-14,2021-08-14,U400-DEETHANIZER-500,TT-503,reboiler outlet temperature tx,instrument,P2,CLSD,E&I,reboiler_duty_loss,range err,SPAN,CAL,N,8.5,5255.3,"TT-503 range err again, prod upset","night called for TT-503 reboiler outlet temperature tx, low heat seen during reboiler duty loss. Foud range err; span shifted. cleaned and put back online. need watch next feed swing. notif made by ops, maint attended same shift."
10450053,40870053,2021-08-19,2021-08-19,2021-08-19,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P3,COMP,VALVE,valve_stiction,air leak,AIR_LEAK,TUBING,N,16.6,3980.83,chk TV-502 - air leak frm ops,"night called for TV-502 condenser cooling valve, loop cycling seen during valve stiction. Foud air leak; positioner supply drop. Tag plate dirty, confirmd by line up with panel. replaced positioner tubing and retuned small. no leak at handover. notif made by ops, maint attended same shift."
10450054,40870054,2021-08-21,2021-08-21,2021-08-23,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P2,CLSD,ANLYZR,condenser_fouling,passing,LEAK_BY,SEAT,Y,9.3,6542.41,"TV-502 pic wide open, passing","night called for TV-502 condenser cooling valve, drum temp hi seen during condenser fouling. Foud passing; seat leak by. swapped to standby and repaired. no leak at handover. notif made by ops, maint attended same shift."
10450055,40870055,2021-08-20,2021-08-21,2021-08-26,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P2,CLSD,ANLYZR,reboiler_duty_loss,low duty,DUTY_LOSS,UTILITY,Y,21.5,2760.65,"E-501 rb circ cold, low duty","B shift called for E-501 deethanizer reboiler, rb circ cold seen during reboiler duty loss. Foud low duty; hm valve/strainer issue. Tag plate dirty, confirmd by line up with panel. flushed impulse/sample line. ops says ok for now. notif made by ops, maint attended same shift."
10450056,40870056,2021-08-22,2021-08-22,2021-08-24,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P2,CLSD,ANLYZR,valve_stiction,not stroking,NO_TRAVEL,ACT,Y,13.3,5905.94,chk FV-502 - not stroking frm ops,"B shift called for FV-502 rflx flow control valve, loop cycling seen during valve stiction. Foud not stroking; actuator weak. Could not get permit first time waiting area gas test. tightened fittings, leak test ok. ops says ok for now. notif made by ops, maint attended same shift."
10450057,40870057,2021-08-25,2021-08-26,2021-08-26,U400-DEETHANIZER-500,T-501,deethanizer column,column,P2,CLSD,VALVE,feed_composition_shift,weeping flange,LEAK,GASKET,Y,15.2,1890.8,"T-501 quality bad, weeping flange","days called for T-501 deethanizer column, ovhd c3 slip seen during feed composition shift. Foud weeping flange; manway/flange seep. History shows same complain last mnth. calibrated, loop chekd with CCR. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450058,40870058,2021-08-24,2021-08-25,2021-08-28,U400-DEETHANIZER-500,AIT-501,overhead C2 analyzer,analyzer,P3,CLSD,ANLYZR,feed_composition_shift,anlyzr drift,DRIFT,CAL_GAS,N,10.8,2508.01,chk AIT-501 - anlyzr drift frm ops,"A shift called for AIT-501 overhead C2 analyzer, c3 in feed hi seen during feed composition shift. Foud anlyzr drift; cal gas failed. tightened fittings, leak test ok. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450059,40870059,2021-08-29,2021-08-29,2021-08-29,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P1,CLSD,OPS+MECH,feed_temperature_ramp,low duty,DUTY_LOSS,UTILITY,Y,22.6,321.82,E-501 not ok after feed temp ramp,"A shift called for E-501 deethanizer reboiler, rb duty up seen during feed temperature ramp. Foud low duty; hm valve/strainer issue. cleaned and put back online. unit stable now. notif made by ops, maint attended same shift."
10450060,40870060,2021-08-26,2021-08-27,2021-08-30,U400-DEETHANIZER-500,LV-502,bottoms level valve,control_valve,P2,TECO,MECH,valve_stiction,stiction,STICK,PACKING,N,11.5,5589.92,chk LV-502 - stiction frm ops,"A shift called for LV-502 bottoms level valve, position bad seen during valve stiction. Foud stiction; stem sticky and pos err. reset trip and monitored for 2 hrs. need watch next feed swing. notif made by ops, maint attended same shift."
10450061,40870061,2021-08-31,2021-09-01,2021-09-01,U400-DEETHANIZER-500,FT-501,feed flow transmitter,instrument,P4,CLSD,INST,feed_flow_step,bad reading,DRIFT,CAL,N,7.7,1075.8,FT-501 not ok after feed flow step,"days called for FT-501 feed flow tx, fic hunting seen during feed flow step. Foud bad reading; needs calib. calibrated, loop checked with CCR. need watch next feed swing. notif made by ops, maint attended same shift."
10450062,40870062,2021-08-30,2021-09-01,2021-09-03,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P4,CLSD,VALVE,feed_flow_step,air leak,AIR_LEAK,TUBING,N,10.9,2476.68,FV-502 air leak noisy,"days called for FV-502 reflux flow control valve, fic hunting seen during feed flow step. Foud air leak; positioner supply drop. opened strainer, cleaned black sludge. need watch next feed swing. notif made by ops, maint attended same shift."
